Y=2611 X=187 | size=60.0 | color=#f7f5f2 | font=Optima | 'BEFORE & AFTER'
Y=2681 X=187 | size=60.0 | color=#f7f5f2 | font=Optima | '/ RESULTS'
Y=423 X=161 | size=60.0 | color=#1f1f1f | font=Optima | 'Redefining Confidence'
Y=493 X=161 | size=60.0 | color=#1f1f1f | font=Optima | 'Through Precision & Expertise'
Y=728 X=189 | size=23.0 | color=#ffffff | font=Inter-Regular | 'Book Consultation'
Y=580 X=161 | size=20.0 | color=#6f6f6f | font=Inter-Regular | 'Led by Dr. Moamen Bakr, a consultant plastic surgeon with over 14'
Y=604 X=161 | size=20.0 | color=#6f6f6f | font=Inter-Regular | 'years of experience, delivering natural, refined, and safe results.'
Y=1305 X=610 | size=20.0 | color=#6f6f6f | font=Inter-Regular | 'Dr. Moamen Bakr is a Consultant Plastic Surgeon with over 14 years of'
Y=1329 X=610 | size=20.0 | color=#6f6f6f | font=Inter-Regular | 'experience, known for delivering natural, refined results. Combining'
Y=1353 X=610 | size=20.0 | color=#6f6f6f | font=Inter-Regular | 'advanced surgical precision with a patient-focused approach, he'
Y=1377 X=610 | size=20.0 | color=#6f6f6f | font=Inter-Regular | 'specializes in both aesthetic and reconstructive procedures.'
Y=1454 X=610 | size=20.0 | color=#6f6f6f | font=Inter-Regular | 'PRECISION. SAFETY. NATURAL RESUTLTS.'
Y=973 X=162 | size=19.6 | color=#6f6f6f | font=Inter-Regular | '14+ Years Experience'
Y=973 X=616 | size=19.6 | color=#6f6f6f | font=Inter-Regular | 'Consultant Surgeon'
Y=973 X=1056 | size=19.6 | color=#6f6f6f | font=Inter-Regular | 'International Experience'
Y=49 X=1237 | size=18.0 | color=#ffffff | font=Inter-Regular | 'Contact Us'
Y=1218 X=610 | size=60.0 | color=#1f1f1f | font=Optima | 'About Dr. Moamen Bakr'
Y=1815 X=161 | size=60.0 | color=#1f1f1f | font=Optima | 'Our Services'
Y=2170 X=191 | size=20.0 | color=#6f6f6f | font=Inter-Regular | 'Facelift & Neck Lift'
Y=2149 X=479 | size=20.0 | color=#6f6f6f | font=Inter-Regular | 'Liposuction &'
Y=2173 X=479 | size=20.0 | color=#6f6f6f | font=Inter-Regular | 'Body Contouring'
Y=2170 X=766 | size=20.0 | color=#6f6f6f | font=Inter-Regular | 'Mommy Makeover'
Y=2054 X=1049 | size=20.0 | color=#6f6f6f | font=Inter-Regular | 'Breast'
Y=2078 X=1049 | size=20.0 | color=#6f6f6f | font=Inter-Regular | 'Augmentation & Lift'
